rank	lemma	PoS
506	perhaps	r
507	relationship	n
508	six	m
509	fine	j
510	movie	n
511	field	n
512	raise	v
513	less	r
514	player	n
515	couple	n
516	million	m
517	themselves	p
518	record	n
519	especially	r
520	difference	n
521	light	n
522	development	n
523	federal	j
524	former	d
525	role	n
526	pretty	r
527	myself	p
528	view	n
529	price	n
530	effort	n
531	nice	j
532	quite	r
533	along	i
534	voice	n
535	finally	r
536	department	n
537	either	r
538	toward	i
539	leader	n
540	because	i
541	photo	n
542	wear	v
543	space	n
544	project	n
545	return	v
546	position	n
547	special	j
548	million	n
549	film	n
550	need	n
551	major	j
552	type	n
553	town	n
554	article	n
555	road	n
556	form	n
557	chance	n
558	drug	n
559	economic	j
560	situation	n
561	choose	v
562	practice	n
563	cause	v
564	happy	j
565	science	n
566	join	v
567	teach	v
568	early	r
569	develop	v
570	share	v
571	yourself	p
572	carry	v
573	clear	j
574	brother	n
575	matter	n
576	dead	j
577	image	n
578	star	n
579	cost	n
580	simply	r
581	post	n
582	society	n
583	picture	n
584	piece	n
585	paper	n
586	energy	n
587	personal	j
588	building	n
589	military	j
590	open	j
591	doctor	n
592	activity	n
593	exactly	r
594	american	n
595	media	n
596	miss	v
597	evidence	n
598	product	n
599	realize	v
600	save	v
601	arm	n
602	technology	n
603	catch	v
604	comment	n
605	look	n
606	term	n
607	color	n
608	cover	v
609	describe	v
610	guess	v
611	choice	n
612	source	n
613	mom	n
614	soon	r
615	director	n
616	international	j
617	rule	n
618	campaign	n
619	ground	n
620	election	n
621	face	v
622	uh	u
623	check	v
624	page	n
625	fight	v
626	itself	p
627	test	n
628	patient	n
629	produce	v
630	certain	j
631	whatever	d
632	half	d
633	video	n
634	support	n
635	throw	v
636	third	m
637	care	v
638	rest	n
639	recent	j
640	available	j
641	step	n
642	ready	j
643	opportunity	n
644	official	n
645	oil	n
646	call	n
647	organization	n
648	character	n
649	single	j
650	current	j
651	likely	j
652	county	n
653	future	n
654	dad	n
655	whose	d
656	less	d
657	shoot	v
658	industry	n
659	second	n
660	list	n
661	general	j
662	stuff	n
663	figure	n
664	attention	n
665	forget	v
666	risk	n
667	no	r
668	focus	v
669	short	j
670	fire	n
671	dog	n
672	red	j
673	hair	n
674	point	v
675	condition	n
676	wall	n
677	daughter	n
678	before	r
679	deal	n
680	author	n
681	truth	n
682	upon	i
683	husband	n
684	period	n
685	series	n
686	order	n
687	officer	n
688	close	j
689	land	n
690	note	v
691	computer	n
692	thought	n
693	economy	n
694	goal	n
695	bank	n
696	behavior	n
697	sound	v
698	deal	v
699	certainly	r
700	nearly	r
701	increase	v
702	act	n
703	north	n
704	well	i
705	blood	n
706	culture	n
707	medical	j
708	ok	r
709	everybody	p
710	top	n
711	difficult	j
712	close	v
713	language	n
714	window	n
715	response	n
716	population	n
717	lie	v
718	tree	n
719	park	n
720	worker	n
721	draw	v
722	plan	v
723	drop	v
724	push	v
725	earth	n
726	cause	n
727	per	i
728	private	j
729	tonight	r
730	race	n
731	than	i
732	letter	n
733	other	p
734	gun	n
735	simple	j
736	course	n
737	wonder	v
738	involve	v
739	hell	n
740	poor	j
741	each	p
742	answer	n
743	nature	n
744	administration	n
745	common	j
746	no	p
747	hard	r
748	message	n
749	song	n
750	enjoy	v
751	similar	j
